"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"MIMAT0000063_st",-7.13571131675,6.10847073833333,-39.6545174729303,1.01012042373497e-10,6.69810852978659e-07,7.38723475814101
"MIMAT0000261_st",-3.03663155925,3.410035968,-14.3456539706431,3.96041282553029e-07,0.00101507774373246,5.25856038594975
"MIMAT0000065_st",-5.05432275775,4.82824385016667,-14.0816015896612,4.59241928999757e-07,0.00101507774373246,5.18737945290956
"MIMAT0000062_st",-4.09985700025,7.17078722966667,-12.1193504913975,1.50667005092637e-06,0.00249768227692318,4.5637605660451
"MIMAT0000074_st",3.59930683325,3.68127667116667,10.8036662574699,3.7003754357941e-06,0.00490743790295014,4.03007597879348
"MIMAT0000426_st",-4.14295412425,5.15709121266667,-9.45733989424603,1.03154514044647e-05,0.0114002930438342,3.35742969257891
"MIMAT0000064_st",-2.76310994975,7.62914084333333,-8.84978812555831,1.70762918468473e-05,0.0161761273194921,3.00284956157733
"MIMAT0000278_st",3.278759186,2.26906709166667,8.3458608686552,2.65236738338904e-05,0.0219848101490659,2.68083303521342
"MIMAT0000418_st",-1.34125296825,9.3336151385,-7.64196603109196,5.09325017400704e-05,0.0375259354487119,2.18377264880222
"MIMAT0000075_st",2.40912728475,6.924385777,7.28565328535179,7.21611736550782e-05,0.0478500742506823,1.90913756616788
